query_order	arrival_time_s
226	1174.594
227	1178.089
228	1187.666
229	1188.522
230	1204.715
231	1205.132
232	1206.160
233	1210.680
234	1216.303
235	1217.644
236	1218.282
237	1229.332
238	1230.745
239	1235.258
240	1240.088
241	1242.805
242	1247.187
243	1250.885
244	1264.530
245	1265.672
246	1271.969
247	1273.333
248	1275.852
249	1281.421
250	1283.204
251	1285.105
252	1292.074
253	1292.450
254	1295.515
255	1327.877
256	1355.606
257	1355.987
258	1357.185
259	1358.726
260	1372.261
261	1382.898
262	1393.469
263	1395.776
264	1396.634
265	1405.605
266	1411.685
267	1416.414
268	1438.219
269	1443.525
270	1443.564
271	1452.058
272	1453.837
273	1459.281
274	1473.260
275	1473.981
276	1474.594
277	1475.160
278	1479.189
279	1480.779
280	1485.421
281	1491.743
282	1492.881
283	1497.910
284	1499.443
285	1502.795
286	1514.582
287	1523.940
288	1524.424
289	1527.178
290	1528.798
291	1528.816
292	1536.188
293	1541.257
294	1542.776
295	1549.535
296	1553.546
297	1556.336
298	1556.385
299	1556.776
300	1567.508
301	1579.222
302	1583.166
303	1592.162
304	1596.530
305	1597.331
306	1598.013
307	1599.856
308	1611.318
309	1619.269
310	1629.125
311	1640.584
312	1641.763
313	1643.198
314	1643.741
315	1651.314
316	1662.091
317	1664.698
318	1669.545
319	1670.384
320	1683.672
321	1693.670
322	1712.362
323	1720.686
324	1731.346
325	1731.472
326	1738.142
327	1740.160
328	1753.515
329	1761.619
330	1771.596
331	1779.920
332	1781.472
333	1789.213
334	1789.785
335	1800.070
336	1809.850
337	1811.108
338	1819.588
339	1822.672
340	1824.493
341	1832.425
342	1833.716
343	1833.836
344	1834.909
345	1836.898
346	1846.887
347	1863.926
348	1865.563
349	1870.692
350	1873.243
351	1893.099
352	1896.941
353	1910.945
354	1911.557
355	1929.157
356	1930.141
357	1946.563
358	1948.105
359	1948.679
360	1951.530
361	1958.050
362	1959.932
363	1964.591
364	1968.173
365	1970.605
366	1974.902
367	1976.372
368	1982.540
369	1982.549
370	1995.539
371	1999.404
372	2005.759
373	2012.532
374	2018.085
375	2020.349
376	2020.712
377	2026.169
378	2028.173
379	2030.057
380	2039.476
381	2045.837
382	2047.623
383	2049.473
384	2052.097
385	2054.671
386	2056.424
387	2057.105
388	2059.832
389	2073.930
390	2079.585
391	2091.240
392	2096.019
393	2097.810
394	2101.779
395	2101.781
396	2103.472
397	2106.282
398	2110.619
399	2115.936
400	2119.063
401	2121.982
402	2123.184
403	2126.388
404	2137.961
405	2145.909
406	2146.839
407	2147.282
408	2150.905
409	2155.916
410	2157.957
411	2166.488
412	2173.442
413	2179.028
414	2180.300
415	2181.410
416	2181.534
417	2182.938
418	2186.161
419	2195.638
420	2196.016
421	2198.692
422	2203.660
423	2204.741
424	2210.701
425	2214.110
426	2215.509
427	2220.845
428	2220.873
429	2227.824
430	2235.173
431	2235.737
432	2238.505
433	2239.472
434	2255.319
435	2258.967
436	2259.225
437	2260.658
438	2270.088
439	2273.137
440	2281.219
441	2286.726
442	2308.796
443	2313.321
444	2328.303
445	2339.405
446	2344.147
447	2350.499
448	2354.013
449	2362.889
450	2366.858
451	2378.233
452	2385.040
453	2388.258
454	2389.758
455	2391.178
456	2396.254
457	2403.512
458	2407.196
459	2412.123
460	2413.729
461	2414.132
462	2415.814
463	2417.400
464	2419.326
465	2423.210
466	2423.955
467	2425.270
468	2431.190
469	2437.318
470	2437.650
471	2440.268
472	2444.179
473	2446.866
474	2448.025
475	2450.749
476	2462.510
477	2466.897
478	2472.842
479	2482.558
480	2489.811
481	2492.204
482	2492.234
483	2494.401
484	2501.403
485	2511.005
486	2526.339
487	2529.054
488	2535.936
489	2539.886
490	2544.508
491	2545.754
492	2546.992
493	2549.855
494	2550.002
495	2552.050
496	2557.734
497	2560.324
498	2561.226
499	2564.376
500	2565.059
501	2569.926
502	2570.063
503	2572.567
504	2576.723
505	2576.860
506	2582.007
507	2582.736
508	2585.832
509	2586.090
510	2588.473
511	2589.662
512	2591.641
513	2598.803
514	2601.186
515	2608.158
516	2617.074
517	2618.528
518	2618.955
519	2619.053
520	2622.929
521	2669.389
522	2671.542
523	2676.793
524	2684.392
525	2689.666
526	2696.683
527	2711.623
528	2712.735
529	2712.838
530	2713.665
531	2714.339
532	2719.874
533	2724.025
534	2725.254
535	2731.265
536	2738.546
537	2739.464
538	2744.137
539	2751.028
540	2751.636
541	2760.190
542	2776.913
543	2777.485
544	2777.615
545	2779.484
546	2785.140
547	2801.011
548	2803.538
549	2809.814
550	2810.209
551	2816.075
552	2821.009
553	2821.547
554	2828.949
555	2838.445
556	2843.031
557	2843.676
558	2864.304
559	2871.935
560	2874.067
561	2876.864
562	2879.178
563	2882.704
564	2884.791
565	2894.262
566	2902.902
567	2903.459
568	2919.653
569	2924.700
570	2933.522
571	2939.665
572	2942.524
573	2949.142
574	2965.972
575	2967.546
576	2975.803
577	2979.665
578	2982.969
579	2985.829
580	2992.394
581	2993.957
582	3003.500
583	3012.381
584	3012.834
585	3023.504
586	3024.902
587	3028.027
588	3032.739
589	3035.121
590	3035.266
591	3044.784
592	3045.787
593	3046.979
594	3054.973
595	3057.053
596	3067.668
597	3073.707
598	3075.324
599	3075.375
600	3090.163
601	3090.611
602	3096.977
603	3100.330
604	3107.427
605	3113.293
606	3118.484
607	3121.859
608	3129.732
609	3130.221
610	3131.473
611	3137.358
612	3139.186
613	3143.542
614	3146.747
615	3150.532
616	3153.304
617	3160.154
618	3162.163
619	3168.230
620	3169.810
621	3171.258
622	3171.901
623	3172.971
624	3173.607
625	3177.445
626	3184.626
627	3185.650
628	3186.869
629	3190.180
630	3196.627
631	3215.404
632	3219.122
633	3220.785
634	3221.315
635	3222.394
636	3223.685
637	3224.673
638	3224.745
639	3228.564
640	3230.167
641	3248.473
642	3252.503
643	3258.480
644	3259.155
645	3269.297
646	3272.672
647	3282.979
648	3287.246
649	3290.415
650	3293.318
651	3294.337
652	3294.601
653	3308.757
654	3312.005
655	3320.638
656	3323.198
657	3323.583
658	3328.547
659	3328.823
660	3329.630
661	3333.768
662	3335.579
663	3361.091
664	3361.721
665	3368.950
666	3373.611
667	3381.432
668	3382.711
669	3386.408
670	3389.402
671	3392.325
672	3402.162
673	3425.203
674	3427.025
675	3431.876
676	3436.580
677	3443.317
678	3458.060
679	3459.225
680	3460.410
681	3465.810
682	3466.665
683	3467.619
684	3468.009
685	3468.023
686	3471.017
687	3475.521
688	3477.243
689	3478.559
690	3484.696
691	3490.766
692	3493.792
693	3499.606
694	3512.485
695	3520.237
696	3525.142
697	3530.553
698	3544.119
699	3546.887
700	3550.819
701	3556.035
702	3567.987
703	3576.749
704	3577.119
705	3578.026
706	3579.864
707	3586.775
708	3590.986
709	3592.688
710	3593.352
711	3599.187
712	3605.202
713	3619.498
714	3622.968
715	3626.372
716	3626.791
717	3626.995
718	3629.823
719	3631.769
720	3633.210
721	3633.688
722	3650.028
723	3659.066
724	3663.346
725	3678.404
726	3717.191
727	3722.769
728	3724.339
729	3724.545
730	3731.603
731	3734.782
732	3740.053
733	3752.442
734	3753.443
735	3757.845
736	3762.881
737	3766.265
738	3766.743
739	3768.881
740	3770.908
741	3776.454
742	3786.204
743	3788.205
744	3794.120
745	3795.820
746	3810.340
747	3818.739
748	3822.732
749	3825.765
750	3827.654
