query_order,qid,arrival_time_s,round
111,18404,1631.641,1
112,4741,1637.305,1
113,11487,1686.149,1
114,6107,1699.415,1
115,15906,1720.346,1
116,18457,1739.055,1
117,15828,1746.674,1
118,11729,1747.875,1
119,26256,1750.534,1
120,25397,1754.660,1
121,26440,1781.656,1
122,26294,1789.049,1
123,26028,1823.076,1
124,25478,1829.122,1
125,26400,1850.257,1
126,13995,1852.518,1
127,25340,1919.471,1
128,25415,1938.790,1
129,9590,1949.211,1
130,13483,2004.143,1
131,25911,2004.971,1
132,15015,2013.591,1
133,10506,2040.956,1
134,26569,2047.202,1
135,26479,2069.182,1
136,8706,2115.652,1
137,11082,2123.232,1
138,10073,2145.511,1
139,26276,2145.962,1
140,13423,2150.751,1
141,10260,2224.316,1
142,15024,2234.434,1
143,26067,2241.031,1
144,9953,2283.520,1
145,26425,2292.001,1
146,11628,2309.078,1
147,17832,2325.290,1
148,22018,2326.634,1
149,26590,2341.093,1
150,3609,2365.089,1
151,26289,2383.819,1
152,6537,2385.103,1
153,26789,2387.616,1
154,5726,2406.271,1
155,13012,2421.344,1
156,26115,2441.530,1
157,25641,2447.242,1
158,25545,2448.932,1
159,25746,2449.010,1
160,12046,2454.538,1
161,9614,2461.230,1
162,18038,2465.946,1
163,25834,2468.079,1
164,11769,2471.191,1
165,26720,2480.127,1
166,11063,2492.264,1
167,18542,2500.128,1
168,11358,2500.528,1
169,11334,2507.080,1
170,25176,2508.545,1
171,25467,2522.216,1
172,10948,2528.099,1
173,13580,2535.397,1
174,14438,2540.574,1
175,26283,2547.934,1
176,25831,2549.262,1
177,10229,2583.972,1
178,26680,2619.313,1
179,14674,2676.682,1
180,25313,2689.410,1
181,25783,2692.197,1
182,26454,2699.386,1
183,26637,2701.628,1
184,11968,2707.002,1
185,15385,2717.195,1
186,26755,2718.175,1
187,12849,2726.730,1
188,25320,2734.930,1
189,26710,2744.861,1
190,25405,2746.062,1
191,14319,2750.411,1
192,26201,2754.658,1
193,11557,2769.372,1
194,20193,2782.886,1
195,12305,2786.150,1
196,25714,2787.847,1
197,19673,2793.297,1
198,26368,2837.884,1
199,25757,2843.941,1
200,25919,2858.462,1
201,10001,2882.913,1
202,26810,2888.910,1
203,26165,2895.023,1
204,8332,2920.373,1
205,14308,2949.812,1
206,26214,3004.688,1
207,26712,3006.882,1
208,25408,3012.682,1
209,25715,3056.823,1
210,13940,3060.186,1
211,25650,3065.844,1
212,26373,3115.948,1
213,7073,3167.923,1
214,11614,3173.091,1
215,25623,3190.900,1
216,26137,3201.030,1
217,10075,3213.896,1
218,25013,3218.060,1
219,13805,3225.136,1
220,26462,3250.569,1
221,26800,3258.055,1
222,26112,3259.869,1
223,15574,3272.316,1
224,2895,3285.771,1
225,26520,3297.604,1
226,25305,3314.776,1
227,26465,3326.757,1
228,7018,3372.622,1
229,8218,3381.910,1
230,26805,3400.394,1
231,25383,3409.050,1
232,11855,3414.216,1
233,26537,3431.921,1
234,26027,3457.557,1
235,9618,3481.377,1
236,8925,3489.269,1
237,26813,3499.646,1
238,19186,3514.695,1
239,21150,3518.852,1
240,26426,3534.975,1
241,13074,3553.816,1
242,15217,3577.160,1
243,15889,3578.313,1
244,26350,3648.480,1
245,7565,3658.267,1
246,17175,3665.949,1
247,25280,3676.546,1
248,25648,3714.506,1
249,13837,3732.157,1
250,26496,3743.924,1
251,25073,3767.385,1
252,25644,3774.069,1
253,4443,3807.947,1
254,3050,3819.495,1
255,5114,3834.744,1
256,14155,3836.076,1
257,26217,3858.053,1
258,25788,3874.130,1
259,26439,3880.707,1
260,26486,3896.327,1
261,26517,3897.006,1
262,17168,3958.671,1
263,11775,3975.645,1
264,23711,3983.297,1
265,25824,4004.254,1
266,25386,4054.850,1
267,8793,4063.294,1
268,17970,4063.453,1
269,11598,4067.944,1
270,25412,4078.665,1
271,7609,4089.637,1
272,23782,4102.668,1
273,26787,4115.511,1
274,26240,4124.364,1
275,26741,4131.806,1
276,9594,4154.005,1
277,26660,4167.328,1
278,15049,4177.739,1
279,11822,4184.085,1
280,23470,4184.458,1
281,16740,4186.114,1
282,25526,4194.182,1
283,25642,4243.127,1
284,14738,4244.978,1
285,25631,4287.349,1
286,26210,4289.640,1
287,6607,4295.248,1
288,5794,4304.361,1
289,12860,4307.838,1
290,8309,4317.731,1
291,7559,4327.430,1
292,25260,4336.078,1
293,17856,4353.977,1
294,11482,4359.738,1
295,11800,4365.093,1
296,15697,4390.019,1
297,26818,4391.853,1
298,25629,4420.228,1
299,25292,4435.889,1
300,26730,4452.847,1
301,11964,4455.540,1
302,25673,4517.474,1
303,13712,4521.668,1
304,26668,4524.544,1
305,26230,4527.162,1
306,11439,4539.471,1
307,23072,4587.189,1
308,25480,4591.145,1
309,25585,4598.934,1
310,12518,4601.993,1
311,25704,4617.338,1
312,8569,4625.826,1
313,9474,4626.270,1
314,25464,4640.553,1
315,17182,4643.850,1
316,14451,4657.305,1
317,7510,4664.691,1
318,25469,4682.989,1
319,8812,4686.445,1
320,14672,4707.380,1
321,10087,4732.191,1
322,25027,4733.160,1
323,4291,4734.769,1
324,26144,4765.603,1
325,17471,4768.707,1
326,25916,4774.625,1
327,9173,4783.800,1
328,15832,4788.364,1
329,26783,4818.141,1
330,10795,4829.394,1
331,5216,4844.681,1
332,26456,4858.313,1
333,18011,4872.487,1
334,17332,4885.752,1
335,12343,4892.166,1
336,10962,4920.181,1
337,11028,4934.591,1
338,25968,4959.800,1
339,4383,4978.162,1
340,12102,4983.457,1
341,26718,4997.755,1
342,12950,4999.083,1
343,14051,5001.241,1
344,17697,5003.122,1
345,18604,5008.588,1
346,24675,5011.620,1
347,10653,5029.355,1
348,13132,5040.081,1
349,7857,5048.206,1
350,10506,5050.431,2
351,25251,5057.692,2
352,26517,5060.774,2
353,11028,5075.913,2
354,11855,5093.647,2
355,25715,5109.193,2
356,26465,5247.281,2
357,18457,5259.423,2
358,8812,5269.513,2
359,26486,5271.781,2
360,3050,5277.446,2
361,10075,5286.441,2
362,25673,5287.268,2
363,26414,5293.940,2
364,5066,5294.084,2
365,8706,5296.286,2
366,17987,5321.615,2
367,25824,5371.407,2
368,15828,5381.968,2
369,11968,5392.215,2
370,25629,5409.529,2
371,6607,5417.587,2
372,10260,5445.066,2
373,25073,5455.128,2
374,15024,5456.422,2
375,11499,5456.892,2
376,26165,5478.365,2
377,15832,5483.547,2
378,26537,5488.367,2
379,26520,5499.938,2
380,25415,5502.700,2
381,15348,5511.869,2
382,13712,5532.221,2
383,7559,5554.002,2
384,12340,5565.971,2
385,25635,5567.773,2
386,10948,5569.592,2
387,26805,5591.974,2
388,26214,5617.972,2
389,9590,5624.828,2
390,26030,5650.770,2
391,25648,5651.407,2
392,17471,5670.447,2
393,18404,5682.304,2
394,14203,5751.048,2
395,9594,5752.669,2
396,26240,5779.255,2
397,4383,5800.130,2
398,26289,5805.431,2
399,23782,5914.672,2
400,25804,5923.632,2
401,11487,5930.061,2
402,25386,5955.513,2
403,25916,5964.185,2
404,22018,6040.820,2
405,10087,6063.237,2
406,15049,6067.293,2
407,18542,6092.259,2
408,25383,6105.558,2
409,25831,6112.034,2
410,13580,6130.641,2
411,5114,6145.668,2
412,26810,6148.390,2
413,26818,6150.639,2
414,17832,6154.111,2
415,25292,6157.589,2
416,26660,6158.507,2
417,5765,6164.987,2
418,25914,6169.938,2
419,10543,6181.545,2
420,13995,6187.411,2
421,18032,6205.675,2
422,12046,6210.798,2
423,11778,6215.464,2
424,25469,6244.745,2
425,11822,6308.237,2
426,26025,6325.296,2
427,15385,6326.797,2
428,25324,6376.157,2
429,11628,6399.262,2
430,5794,6436.919,2
431,9474,6510.284,2
432,8793,6540.551,2
433,26479,6542.586,2
434,16171,6572.744,2
435,11775,6577.052,2
436,8139,6595.693,2
437,25027,6622.139,2
438,26789,6643.638,2
439,25405,6660.554,2
440,14018,6670.638,2
441,3924,6683.559,2
442,13805,6688.253,2
443,15217,6696.276,2
444,6531,6705.298,2
445,13074,6720.359,2
446,11964,6752.179,2
447,25545,6753.645,2
448,25412,6764.518,2
449,26741,6769.408,2
450,6537,6810.720,2
451,17168,6817.629,2
452,9173,6862.641,2
453,26327,6868.588,2
454,10962,6868.625,2
455,5216,6890.942,2
456,26425,6910.734,2
457,25746,6930.426,2
458,7488,6939.626,2
459,26350,6955.992,2
460,9953,6962.645,2
461,26494,6963.626,2
462,4443,6975.093,2
463,11598,6978.779,2
464,25300,6987.201,2
465,15792,6990.772,2
466,10795,6995.463,2
467,25993,7021.897,2
468,25788,7028.078,2
469,25343,7041.017,2
470,15474,7053.543,2
471,17697,7063.506,2
472,25397,7069.824,2
473,26144,7087.036,2
474,25486,7087.780,2
475,25753,7089.354,2
476,8194,7112.333,2
477,26201,7121.564,2
478,19186,7123.554,2
479,25832,7152.796,2
480,25464,7161.528,2
481,16494,7161.538,2
482,17856,7209.101,2
483,9614,7212.492,2
484,25280,7229.991,2
485,13597,7232.113,2
486,26352,7247.861,2
487,26294,7250.458,2
488,9593,7290.942,2
489,25650,7295.746,2
490,26324,7311.691,2
491,25518,7316.014,2
492,13483,7322.989,2
493,11482,7358.108,2
494,15022,7360.823,2
495,21454,7368.394,2
496,14075,7373.863,2
497,26755,7391.894,2
498,12050,7395.896,2
499,26590,7411.880,2
500,26426,7430.126,2
501,7083,7430.142,2
502,7609,7439.859,2
503,26440,7441.995,2
504,18011,7445.841,2
505,3609,7462.932,2
506,26368,7463.072,2
507,26245,7480.913,2
508,25644,7506.396,2
509,7565,7572.933,2
510,14155,7581.164,2
511,25409,7583.291,2
512,25757,7584.393,2
513,24675,7591.638,2
514,25480,7611.320,2
515,14342,7612.941,2
516,8332,7618.580,2
517,26728,7650.508,2
518,12102,7652.720,2
519,15574,7674.993,2
520,25510,7695.978,2
521,26710,7698.121,2
522,26283,7772.421,2
523,11769,7774.733,2
524,4601,7786.075,2
525,26752,7786.203,2
526,15906,7801.951,2
527,7886,7810.651,2
528,5957,7829.876,2
529,25704,7844.712,2
530,26637,7847.174,2
531,20193,7855.132,2
532,26800,7872.535,2
533,11729,7902.023,2
534,25445,7903.383,2
535,25911,7904.971,2
536,25344,7925.913,2
537,26115,7939.271,2
538,26508,7946.540,2
539,26243,7996.093,2
540,17182,8001.757,2
541,15243,8004.017,2
542,12849,8008.881,2
543,25462,8010.202,2
544,25641,8022.293,2
545,26813,8036.037,2
546,25623,8050.069,2
547,7974,8072.711,2
548,26137,8090.302,2
549,22566,8118.549,2
550,10001,8134.661,2
551,26522,8140.047,2
552,26668,8150.986,2
553,10601,8161.672,2
554,7073,8182.337,2
555,12381,8187.592,2
556,25259,8188.434,2
557,15697,8222.663,2
558,26067,8269.070,2
559,26210,8279.315,2
560,25320,8281.109,2
561,4741,8291.494,2
562,8309,8305.012,2
563,25783,8316.283,2
564,26720,8373.329,2
565,15077,8438.336,2
566,17332,8479.090,2
567,25305,8481.213,2
568,11557,8510.792,2
569,10538,8523.396,2
570,8925,8530.217,2
571,25260,8547.447,2
572,12305,8569.025,2
573,3955,8615.361,2
574,8218,8637.430,2
575,11614,8637.682,2
576,10319,8638.731,2
577,26454,8643.292,2
578,23711,8643.901,2
579,25919,8644.837,2
580,25467,8668.196,2
581,26276,8678.793,2
582,21150,8693.649,2
583,25408,8704.078,2
584,26400,8712.131,2
585,26256,8730.281,2
586,25739,8731.572,2
587,11063,8743.108,2
588,26028,8757.467,2
589,14051,8762.341,2
590,15015,8767.905,2
591,26439,8778.646,2
592,12518,8782.053,2
593,25441,8806.811,2
594,10300,8818.342,2
595,26806,8825.775,2
596,13423,8840.863,2
597,26038,8867.848,2
598,25791,8884.989,2
599,26496,8886.015,2
600,14438,8904.008,2
601,15078,8923.646,2
602,17970,8951.754,2
603,26230,8952.648,2
604,25838,8954.001,2
605,15889,8962.551,2
606,17597,8971.611,2
607,26263,8985.690,2
608,11333,8991.241,2
609,25714,9011.545,2
610,13063,9031.789,2
611,14672,9033.697,2
612,23470,9052.157,2
613,26680,9070.292,2
614,25856,9072.975,2
615,4291,9118.845,2
616,15150,9129.948,2
617,10653,9152.865,2
618,25871,9172.001,2
619,15092,9174.741,2
620,14738,9176.777,2
621,18038,9199.566,2
622,9618,9204.261,2
623,25834,9236.889,2
624,25526,9259.028,2
625,12950,9259.475,2
626,19667,9284.159,2
627,6523,9288.921,2
628,25585,9289.911,2
629,11334,9308.600,2
630,25631,9321.493,2
631,25340,9322.696,2
632,11358,9331.806,2
633,13808,9338.503,2
634,26027,9348.889,2
635,14308,9361.440,2
636,2895,9368.316,2
637,8569,9372.734,2
638,11082,9374.362,2
639,26718,9387.159,2
640,14319,9406.403,2
641,11844,9410.293,2
642,13132,9420.957,2
643,7857,9421.632,2
644,26783,9451.441,2
645,26022,9455.648,2
646,26730,9465.221,2
647,26112,9472.464,2
648,14674,9474.903,2
649,22624,9515.043,2
650,13814,9544.267,2
651,25454,9556.341,2
652,10073,9593.133,2
653,11439,9613.377,2
654,25013,9621.532,2
655,25968,9627.357,2
656,12343,9635.431,2
657,11555,9654.541,2
658,19673,9659.288,2
659,26373,9660.504,2
660,26456,9667.501,2
661,7510,9677.960,2
662,16119,9712.793,2
663,25478,9715.758,2
664,16740,9740.228,2
665,5726,9800.008,2
666,25079,9846.221,2
667,24380,9847.292,2
668,14451,9856.677,2
669,7660,9861.653,2
670,13012,9889.603,2
671,13458,9895.550,2
672,9000,9907.631,2
673,13940,9907.751,2
674,12960,9911.110,2
675,25313,9923.555,2
676,26736,9928.990,2
677,9990,9943.611,2
678,26569,9952.963,2
679,6107,9966.399,2
680,25315,9976.599,2
681,26712,9998.815,2
682,26040,10002.077,2
683,14569,10036.682,2
684,25176,10058.119,2
685,25642,10062.337,2
686,18604,10062.433,2
687,11800,10070.348,2
688,25494,10074.327,2
689,13837,10080.707,2
690,23072,10108.156,2
691,26462,10139.614,2
692,17175,10184.850,2
693,26670,10184.872,2
694,11831,10200.935,2
695,12860,10229.293,2
696,26787,10248.779,2
697,7018,10250.425,2
698,26217,10261.745,2
699,10229,10265.825,2
700,11487,10275.985,3
701,15150,10276.912,3
702,13808,10363.846,3
703,26201,10382.500,3
704,17182,10383.965,3
705,16740,10422.092,3
706,15474,10456.229,3
707,6531,10467.231,3
708,15024,10485.333,3
709,26590,10492.323,3
710,17970,10547.391,3
711,7083,10548.722,3
712,26439,10550.229,3
713,15697,10552.379,3
714,13814,10578.098,3
715,26137,10579.264,3
716,10506,10591.848,3
717,15385,10600.412,3
718,12849,10650.366,3
719,26818,10654.419,3
720,14051,10658.956,3
721,12046,10664.631,3
722,10653,10688.834,3
723,25494,10706.930,3
724,25300,10726.871,3
725,14451,10732.613,3
726,26810,10737.374,3
727,26027,10738.538,3
728,25386,10741.936,3
729,11964,10764.644,3
730,25478,10777.825,3
731,26800,10780.359,3
732,17987,10783.052,3
733,7073,10792.464,3
734,26217,10800.291,3
735,26022,10811.806,3
736,12340,10861.937,3
737,14155,10865.428,3
738,11729,10870.957,3
739,11557,10875.575,3
740,25968,10877.491,3
741,25340,10880.064,3
742,6607,10897.442,3
743,25838,10923.706,3
744,13837,10941.610,3
745,15828,10942.228,3
746,4291,10969.339,3
747,26755,10975.297,3
748,26214,10976.732,3
749,7488,10981.011,3
750,26352,10987.606,3
751,26276,10998.413,3
752,11063,11015.373,3
753,25834,11019.893,3
754,26712,11090.021,3
755,26324,11090.495,3
756,10073,11098.267,3
757,7559,11107.295,3
758,14672,11127.975,3
759,13940,11132.287,3
760,19673,11141.587,3
761,12050,11166.023,3
762,26720,11168.282,3
763,5066,11168.462,3
764,26508,11195.075,3
765,25408,11255.816,3
766,25441,11257.917,3
767,9594,11283.948,3
768,5216,11290.932,3
769,10260,11305.858,3
770,26522,11321.379,3
771,15792,11334.475,3
772,25454,11338.968,3
773,26479,11364.097,3
774,25320,11364.428,3
775,16171,11365.428,3
776,12860,11400.345,3
777,25176,11409.135,3
778,25804,11411.203,3
779,21150,11446.524,3
780,26112,11473.046,3
781,24380,11479.088,3
782,25397,11479.743,3
783,25631,11489.013,3
784,11855,11491.772,3
785,26256,11504.567,3
786,10319,11530.430,3
787,26400,11537.968,3
788,25280,11538.417,3
789,11778,11555.660,3
790,11333,11558.506,3
791,14674,11562.131,3
792,11598,11565.240,3
793,25832,11570.164,3
794,26496,11602.402,3
795,19667,11602.931,3
796,9614,11617.413,3
797,25635,11621.644,3
798,26456,11626.889,3
799,25757,11634.855,3
800,8706,11646.855,3
801,26710,11647.799,3
802,25343,11652.722,3
803,18011,11654.936,3
804,25518,11658.273,3
805,15078,11690.670,3
806,25916,11701.862,3
807,25856,11716.807,3
808,11822,11741.112,3
809,25313,11764.872,3
810,26144,11833.080,3
811,11831,11855.924,3
812,13483,11862.597,3
813,25739,11874.393,3
814,3924,11884.338,3
815,26718,11920.910,3
816,4383,11931.379,3
817,10001,11938.754,3
818,25746,11941.727,3
819,9590,11947.487,3
820,25467,11951.195,3
821,11439,11985.112,3
822,25911,12007.724,3
823,8569,12008.630,3
824,8194,12080.201,3
825,25871,12091.508,3
826,11775,12113.349,3
827,26783,12230.926,3
828,12960,12285.660,3
829,25585,12287.242,3
830,8332,12303.287,3
831,25831,12307.936,3
832,17175,12333.352,3
833,14319,12370.732,3
834,17597,12371.595,3
835,17832,12455.965,3
836,15574,12459.680,3
837,22566,12487.792,3
838,13132,12511.739,3
839,16494,12518.312,3
840,25753,12545.728,3
841,13712,12573.714,3
842,26294,12576.620,3
843,26040,12590.086,3
844,25079,12614.701,3
845,25415,12632.642,3
846,4741,12669.440,3
847,25324,12669.869,3
848,25259,12687.957,3
849,11082,12732.178,3
850,26486,12744.616,3
851,8812,12757.037,3
852,11028,12760.165,3
853,11614,12826.515,3
854,25383,12858.524,3
855,25824,12868.690,3
856,25462,12874.235,3
857,9474,12884.348,3
858,15049,12885.767,3
859,17471,12889.739,3
860,7886,12893.443,3
861,18032,12904.655,3
862,26537,12904.666,3
863,25251,12942.162,3
864,25715,12945.537,3
865,9173,12947.634,3
866,26210,12966.565,3
867,25405,13004.225,3
868,26440,13032.120,3
869,14203,13037.985,3
870,25993,13038.317,3
871,5794,13051.567,3
872,10601,13088.942,3
873,25648,13111.274,3
874,11769,13139.383,3
875,23470,13168.947,3
876,10087,13217.441,3
877,14342,13224.457,3
878,12305,13267.147,3
879,15217,13274.700,3
880,6537,13276.297,3
881,26115,13281.685,3
882,25673,13283.886,3
883,11499,13286.457,3
884,14075,13331.006,3
885,26494,13354.548,3
886,22624,13403.081,3
887,25292,13418.794,3
888,26752,13421.665,3
889,7565,13473.647,3
890,18457,13491.388,3
891,5726,13531.032,3
892,6107,13554.228,3
893,25783,13558.017,3
894,12343,13571.353,3
895,26240,13574.245,3
896,25714,13579.742,3
897,26668,13597.237,3
898,25914,13599.281,3
899,5114,13618.856,3
900,14569,13663.433,3
901,12518,13707.983,3
902,26327,13715.437,3
903,11628,13792.902,3
904,13458,13843.267,3
905,7857,13843.761,3
906,26730,13857.595,3
907,13995,13895.677,3
908,17856,13947.089,3
909,26414,13950.833,3
910,26728,13963.339,3
911,15015,14004.734,3
912,24675,14007.007,3
913,25644,14027.525,3
914,26806,14031.602,3
915,15077,14092.182,3
916,23072,14094.939,3
917,25013,14127.423,3
918,26741,14128.817,3
919,15348,14147.332,3
920,25260,14162.619,3
921,25445,14195.279,3
922,26736,14204.155,3
923,13597,14208.777,3
924,3050,14213.083,3
925,15906,14214.136,3
926,13074,14218.585,3
927,14308,14220.300,3
928,11482,14220.320,3
929,10229,14227.634,3
930,25788,14247.419,3
931,8925,14299.575,3
932,9593,14331.959,3
933,25545,14342.150,3
934,26660,14349.289,3
935,18038,14361.135,3
936,25480,14362.739,3
937,26289,14372.533,3
938,26517,14402.465,3
939,26465,14418.254,3
940,5957,14435.685,3
941,16119,14438.348,3
942,25623,14439.497,3
943,3955,14467.535,3
944,3609,14472.777,3
945,12381,14478.534,3
946,7660,14523.977,3
947,26454,14525.133,3
948,10075,14527.930,3
949,26569,14534.991,3
950,14018,14554.742,3
951,26426,14566.621,3
952,9000,14600.881,3
953,25305,14602.347,3
954,26067,14615.869,3
955,25073,14630.134,3
956,26805,14640.022,3
957,22018,14640.495,3
958,25526,14683.319,3
959,17168,14686.024,3
960,26368,14719.099,3
961,15243,14721.663,3
962,25412,14723.264,3
963,26425,14726.716,3
964,10948,14729.876,3
965,25464,14747.797,3
966,9990,14767.001,3
967,26243,14786.639,3
968,4601,14791.263,3
969,26165,14796.222,3
970,9953,14800.290,3
971,12102,14801.054,3
972,18604,14813.776,3
973,25409,14841.251,3
974,23711,14843.752,3
975,26038,14850.466,3
976,7510,14858.835,3
977,26350,14864.068,3
978,26670,14880.340,3
979,23782,14894.092,3
980,26520,14897.433,3
981,15092,14897.824,3
982,26030,14900.634,3
983,7974,14905.810,3
984,26230,14907.092,3
985,25629,14934.939,3
986,26028,14940.469,3
987,13012,14948.068,3
988,26373,14958.142,3
989,9618,14974.370,3
990,10300,14975.803,3
991,25469,14987.586,3
992,26462,14990.653,3
993,8793,15023.159,3
994,25642,15030.076,3
995,26025,15038.928,3
996,26637,15043.512,3
997,25486,15052.896,3
998,11358,15056.743,3
999,26789,15061.435,3
1000,13580,15062.389,3
1001,25315,15083.318,3
1002,12950,15099.833,3
1003,18542,15101.177,3
1004,4443,15107.497,3
1005,11844,15119.192,3
1006,15832,15172.147,3
1007,25791,15185.511,3
1008,25650,15197.609,3
1009,26813,15225.173,3
1010,6523,15250.763,3
1011,10795,15258.898,3
1012,2895,15270.401,3
1013,13063,15300.650,3
1014,25344,15310.310,3
1015,14738,15342.322,3
1016,7609,15352.024,3
1017,8139,15353.257,3
1018,5765,15388.219,3
1019,15022,15407.011,3
1020,25641,15417.471,3
1021,21454,15452.079,3
1022,26245,15476.254,3
1023,17332,15493.230,3
1024,26787,15507.755,3
1025,13423,15509.677,3
1026,26283,15530.909,3
1027,13805,15533.756,3
1028,18404,15596.133,3
1029,14438,15649.855,3
1030,7018,15674.645,3
1031,10543,15676.668,3
1032,15889,15684.926,3
1033,19186,15751.623,3
1034,10962,15760.198,3
1035,11334,15848.745,3
1036,8309,15863.547,3
1037,11800,15890.493,3
1038,8218,15894.967,3
1039,17697,15931.221,3
1040,25510,15968.052,3
1041,11555,15969.093,3
1042,26680,15976.461,3
1043,10538,15984.057,3
1044,26263,15989.978,3
1045,11968,15994.826,3
1046,20193,16004.018,3
1047,25919,16035.027,3
1048,25027,16058.192,3
1049,25704,16072.827,3
1050,25027,16083.917,4
1051,16740,16092.077,4
1052,15348,16100.105,4
1053,5114,16102.511,4
1054,26030,16115.810,4
1055,11028,16137.115,4
1056,13012,16179.229,4
1057,19186,16218.069,4
1058,25409,16230.475,4
1059,25644,16232.072,4
1060,12518,16237.127,4
1061,25832,16248.634,4
1062,15078,16254.955,4
1063,25526,16262.892,4
1064,15049,16270.136,4
1065,25993,16280.107,4
1066,24675,16294.191,4
1067,13814,16294.764,4
1068,10001,16299.596,4
1069,11333,16301.926,4
1070,18032,16315.998,4
1071,25746,16333.744,4
1072,25462,16334.338,4
1073,18038,16367.389,4
1074,3050,16373.430,4
1075,25623,16377.498,4
1076,14569,16398.040,4
1077,9953,16436.083,4
1078,15022,16470.183,4
1079,18604,16470.490,4
1080,26736,16495.996,4
1081,26718,16501.411,4
1082,12960,16506.346,4
1083,12305,16516.494,4
1084,26256,16534.364,4
1085,26165,16535.915,4
1086,20193,16566.391,4
1087,26400,16568.556,4
1088,22018,16623.428,4
1089,13132,16632.209,4
1090,3609,16658.424,4
1091,25313,16663.133,4
1092,26217,16671.221,4
1093,11855,16686.779,4
1094,11729,16689.901,4
1095,10300,16693.464,4
1096,25415,16719.520,4
1097,14075,16739.781,4
1098,26806,16761.156,4
1099,15792,16791.438,4
1100,13063,16817.245,4
1101,7857,16828.108,4
1102,9618,16830.705,4
1103,25629,16836.295,4
1104,21150,16846.898,4
1105,26660,16849.084,4
1106,26027,16877.671,4
1107,22624,16909.392,4
1108,14674,16909.833,4
1109,4741,16913.045,4
1110,22566,16939.885,4
1111,26752,16967.093,4
1112,25176,16971.398,4
1113,11628,16980.542,4
1114,25510,17018.063,4
1115,7559,17036.357,4
1116,13712,17041.159,4
1117,25260,17067.176,4
1118,10229,17077.728,4
1119,25320,17092.863,4
1120,7609,17094.846,4
1121,26486,17095.312,4
1122,12950,17102.301,4
1123,5216,17115.824,4
1124,17175,17118.757,4
1125,23711,17149.416,4
1126,25641,17162.676,4
1127,8793,17169.132,4
1128,15828,17171.810,4
1129,25494,17205.545,4
1130,10087,17226.277,4
1131,26520,17243.789,4
1132,11614,17248.823,4
1133,10795,17256.153,4
1134,8309,17258.820,4
1135,26327,17271.559,4
1136,25300,17321.810,4
1137,5957,17350.995,4
1138,17697,17366.630,4
1139,26324,17383.614,4
1140,26508,17388.316,4
1141,7886,17396.218,4
1142,26680,17396.522,4
1143,10962,17419.255,4
1144,13940,17441.142,4
1145,19673,17441.276,4
1146,3955,17477.650,4
1147,25315,17493.285,4
1148,25968,17507.073,4
1149,25783,17507.200,4
1150,14051,17511.563,4
1151,25412,17536.091,4
1152,9614,17541.559,4
1153,15217,17592.738,4
1154,15024,17608.178,4
1155,11598,17616.448,4
