-- Query: 26081
-- SQL: WITH RegionalSales AS (
    SELECT 
        n.n_name AS nation,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        ROW_NUMBER() OVER (PARTITION BY n.n_nationkey ORDER BY SUM(l...
-- Execution time: 544.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
    │                 │       │       │   └─TableFullScan_107	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:262.2ms, min:0s, avg: 131.1ms, p80:262.2ms, p95:262.2ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:43ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:52ms, tot_build_inputstream:58ms, min_local_stream:60ms, max_local_stream:60ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
    │                 │       │       └─TableFullScan_110(Probe)	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:4.06s, min:0s, avg: 2.03s, p80:4.06s, p95:4.06s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 101ms, pipeline_queue_wait: 233ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:104ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:744ms, tot_build_inputstream:771ms, min_local_stream:2691ms, max_local_stream:3828ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:744ms, tot_read:4652ms}}	keep order:false	N/A	N/A
    │                 │       └─ExchangeReceiver_117(Probe)	9144560.22	9128300	mpp[tiflash]		tiflash_task:{proc max:20.5s, min:20.5s, avg: 20.5s, p80:20.5s, p95:20.5s, iters:903, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 4095ms, pipeline_queue_wait: 36ms}		N/A	N/A
    │                 │         └─ExchangeSender_116	9144560.22	9128300	mpp[tiflash]		tiflash_task:{proc max:25.3s, min:0s, avg: 12.6s, p80:25.3s, p95:25.3s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
    │                 │           └─TableFullScan_114	9144560.22	9128300	mpp[tiflash]	table:o	tiflash_task:{proc max:25.2s, min:0s, avg: 12.6s, p80:25.2s, p95:25.2s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 317ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:106ms, region_balance:{instance_num: 2, max/min: 21/13=1.615385}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:4094ms, tot_build_inputstream:4314ms, min_local_stream:20382ms, max_local_stream:25043ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:3748ms, tot_read:81857ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1996-01-01), lt(tpch_sf40.orders.o_orderdate, 1997-01-01), keep order:false, stats:partial[o_orderkey:allEvicted]	N/A	N/A
    │                 └─TableReader_192(Probe)	9144560.22	36510994	root		time:17m48.4s, loops:37249, cop_task: {num: 11284, max: 9.3s, min: 159.2µs, avg: 148.5ms, p95: 755.9ms, max_proc_keys: 33760, p95_proc_keys: 9184, tot_proc: 24m41.2s, tot_wait: 2.13s, copr_cache_hit_ratio: 0.00, build_task_duration: 503.1ms, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:11287, total_time:27m56s}, rpc_errors:{server_is_busy:3}}	data:TableRangeScan_191	N/A	N/A
    │                   └─TableRangeScan_191	9144560.22	36510994	cop[tikv]	table:l	tikv_task:{proc max:0s, min:0s, avg: 146.2ms, p80:94.4ms, p95:753.6ms, iters:78947, tasks:11284}, scan_detail: {total_process_keys: 36510994, total_process_keys_size: 7178610128, total_keys: 45648986, get_snapshot_time: 307.2ms, rocksdb: {key_skipped_count: 36510994, block: {cache_hit_count: 35156364, read_count: 1623420, read_byte: 13.0 GB, read_time: 22m59.2s}}}, time_detail: {total_process_time: 24m41.2s, total_suspend_time: 2m51.3s, total_wait_time: 2.13s, total_kv_read_wall_time: 27m30.2s, tikv_wall_time: 27m46.1s}	range: decided by [eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], keep order:false	N/A	N/A
    └─TableReader_423(Probe)	396928.00	400000	root		time:20.8s, loops:609, cop_task: {num: 262, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_422	4.20 MB	N/A
      └─ExchangeSender_422	396928.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.7s, min:20.7s, avg: 20.7s, p80:20.7s, p95:20.7s, iters:770, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        └─Projection_418	396928.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.7s, min:20.7s, avg: 20.7s, p80:20.7s, p95:20.7s, iters:770, tasks:2, threads:4}	Column#183, tpch_sf40.supplier.s_name	N/A	N/A
          └─HashAgg_419	396928.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.7s, min:20.7s, avg: 20.7s, p80:20.7s, p95:20.7s, iters:770, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, funcs:sum(Column#201)->Column#183, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_421	396928.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.7s, min:20.6s, avg: 20.7s, p80:20.7s, p95:20.7s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 39ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_420	396928.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.7s, min:0s, avg: 10.4s, p80:20.7s, p95:20.7s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_325	396928.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.7s, min:0s, avg: 10.4s, p80:20.7s, p95:20.7s, iters:512, tasks:2, threads:4}	group by:Column#209, funcs:sum(Column#208)->Column#201	N/A	N/A
                  └─Projection_432	19262522.71	19200404	mpp[tiflash]		tiflash_task:{proc max:20s, min:0s, avg: 9.98s, p80:20s, p95:20s, iters:509, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#208, tpch_sf40.supplier.s_name->Column#209	N/A	N/A
                    └─Projection_161	19262522.71	19200404	mpp[tiflash]		tiflash_task:{proc max:20s, min:0s, avg: 9.98s, p80:20s, p95:20s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
                      └─HashJoin_160	19262522.71	19200404	mpp[tiflash]		tiflash_task:{proc max:20s, min:0s, avg: 9.98s, p80:20s, p95:20s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
                        ├─ExchangeReceiver_155(Build)	4779790.13	9600202	mpp[tiflash]		tiflash_task:{proc max:2.83s, min:0s, avg: 1.42s, p80:2.83s, p95:2.83s, iters:252, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 21ms}		N/A	N/A
                        │ └─ExchangeSender_154	4779790.13	4800101	mpp[tiflash]		tiflash_task:{proc max:3.08s, min:0s, avg: 1.54s, p80:3.08s, p95:3.08s, iters:126, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                        │   └─TableFullScan_152	4779790.13	4800101	mpp[tiflash]	table:p	tiflash_task:{proc max:3.08s, min:0s, avg: 1.54s, p80:3.08s, p95:3.08s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 204ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:106ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:714ms, tot_build_inputstream:861ms, min_local_stream:1959ms, max_local_stream:2843ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:8000000, lm_filter_skipped_rows:0, tot_rs_index_check:671ms, tot_read:6531ms}}	pushed down filter:gt(tpch_sf40.part.p_size, 20), keep order:false, stats:partial[p_partkey:allEvicted]	N/A	N/A
                        └─Projection_151(Probe)	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:19.7s, min:0s, avg: 9.85s, p80:19.7s, p95:19.7s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
                          └─HashJoin_146	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:19.7s, min:0s, avg: 9.85s, p80:19.7s, p95:19.7s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
                            ├─ExchangeReceiver_149(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:895.4ms, min:0s, avg: 447.7ms, p80:895.4ms, p95:895.4ms, iters:14, tasks:2, threads:4}		N/A	N/A
                            │ └─ExchangeSender_148	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:865.1ms, min:0s, avg: 432.5ms, p80:865.1ms, p95:865.1ms, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                            │   └─TableFullScan_147	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:862.1ms, min:0s, avg: 431ms, p80:862.1ms, p95:862.1ms, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 1ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:63ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:182ms, tot_build_inputstream:183ms, min_local_stream:625ms, max_local_stream:627ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:442ms}}	keep order:false	N/A	N/A
                            └─TableFullScan_150(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:19.2s, min:0s, avg: 9.61s, p80:19.2s, p95:19.2s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 2916ms, pipeline_queue_wait: 8ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 12/10=1.200000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:3041ms, tot_build_inputstream:3048ms, min_local_stream:16730ms, max_local_stream:19024ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:2832ms, tot_read:59133ms}}	keep order:false	N/A	N/A
