qid,status,latency_s,memory_delta_bytes,network_delta_bytes,disk_delta_bytes
10484,ok,29.44,23148646400,12748762450,3699695616
10499,ok,30.037,18382700544,12753342819,3693428736
10501,ok,3.217,5602365440,180726646,2945417216
10506,ok,13.727,6199549952,2681826180,2497314816
10521,ok,3.817,8062820352,893682466,3390169088
10526,ok,2.617,3271790592,712436,3166822400
10532,ok,9.421,9240924160,3323370878,2657677312
10533,ok,69.064,10244071424,2204235748,3968864256
10538,ok,33.109,2789478400,3198380,2678861824
1054,ok,12.118,5797916672,2147483648.0000076,1148403712
10543,ok,25.934,5424078848,3383012948,3027816448
10548,ok,10.546,9351094272,2206136144,3963117568
10549,ok,6.12,9290883072,1102988268,3956981760
10555,ok,5.12,4750356480,1652940,4363235328
10556,ok,17.728,11596816384,7754983939,3613417472
10563,ok,26.135,14574518272,10583822828,4937801728
10569,ok,13.126,8930680832,7373648235,3810758656
10572,ok,10.024,19928059904,2893794814,6660878336
10587,ok,14.347,22127521792,1899505381,432820224
10601,ok,46.029,6161977344,1088441417,3844542464
10603,ok,15.128,8336322560,4482050868,3995455488
10606,ok,21.431,13923766272,9911435915,4937269248
10610,ok,16.229,8974884864,7966190186,3811741696
10614,ok,5.219,8118272000,1085466050,3963244544
10618,ok,7.423,11646541824,849908966,443506688
10619,ok,9.122,20997734400,1756787800,562520064
10639,ok,13.425,9848348672,4541339407,4116025344
10644,ok,4.319,5328867328,893751296,3914821632
10645,ok,1.616,3157553152,828600741,561811456
10646,ok,8.121,19899060224,1575806298,564801536
10653,ok,15.327,7358566400,3403603517,3202342912
10655,ok,6.021,8996110336,1101106140,3963682816
10664,ok,41.246,11040284672,11706354885,3998949376
10667,ok,7.922,10631757824,1437760384,457519104
10678,ok,3.316,3835203584,796459,3713400832
10682,ok,2.717,4919975936,702322788,429809664
10688,ok,6.119,8768655360,1630290252,3470393344
10695,ok,9.321,9514647552,3322513562,2657931264
10696,ok,2.517,3409084416,30407840,2945478656
10705,ok,6.119,9077960704,1100958139,3963248640
10711,ok,1.817,3864195072,869989408,584732672
10719,ok,4.32,7921012736,1079611514,4767154176
10720,ok,3.818,4597583872,874688,4363350016
10722,ok,26.035,16613752832,10292649446,4737830912
10731,ok,5.921,11708596224,1359740698,513191936
10738,ok,17.727,11760766976,7755071430,3613446144
10742,ok,3.818,4615716864,842800,4363120640
10754,ok,8.524,3767824384,676741117,601604096
10755,ok,5.218,8035340288,1083346422,3962777600
10756,ok,88.851,14849114112,2211434144,5562298368
10759,ok,12.697,8006705152,1084544986,3966521344
10760,ok,0.518,483733504,119978,519585792
10765,ok,5.12,8020172800,1085743336,3962949632
10783,ok,16.63,9723699200,4921858731,4938440704
10795,ok,15.336,7304015872,3403572375,3202445312
10796,ok,66.17,11850477568,2303230512,2006994944
10803,ok,10.007,8894054400,1629595997,3470475264
10804,ok,74.369,12009684992,23409323611,3341778944
10808,ok,102.595,10672291840,9119942972,13213282304
10817,ok,2.817,3290226688,821217,3167322112
10818,ok,2.717,5403897856,734575383,425754624
10820,ok,1.415,1381642240,422428,1308696576
10821,ok,3.321,5713526784,181324448,2945536000
10828,ok,114.505,28524982272,4542200977,3262083072
10829,ok,21.434,13955112960,9912022730,4940935168
10833,ok,71.674,19776536576,15961397421,3992985600
10848,ok,2.016,2552451072,657772720,563892224
1085,ok,21.802,12783063040,3650722201.5999756,3988369408
10861,ok,25.933,16650194944,10293466550,4737646592
10866,ok,6.02,9247985664,1106062335,3963318272
10867,ok,52.027,13043826688,3409049654,3060752384
10872,ok,4.521,5723467776,183132266,2946162688
10881,ok,88.466,37297373184,23244526020,10116071424
10893,ok,6.12,8668540928,1629805315,3470147584
10895,ok,1.917,2311897088,993765618,513454080
10906,ok,10.423,15164690432,1779168183,472641536
10907,ok,9.422,9556951040,3323265167,2657865728
10912,ok,6.019,8753606656,1628059519,3469737984
10914,ok,5.118,8105705472,1080807037,3963584512
10916,ok,64.653,10964844544,11707285327,4009480192
10948,ok,57.345,4732461056,1229859024,3477270528
10954,ok,60.976,8626384896,7967934770,3813023744
10962,ok,66.194,6220656640,1418605186,3853950976
10966,ok,45.333,8778764288,3424849188,3203735552
10989,ok,24.933,8722464768,2740355877,2520936448
10990,ok,41.343,11064094720,11708243716,4007649280
10991,ok,17.833,11687452672,7755811380,3607633920
10992,ok,17.83,11694456832,7754878475,3610464256
10993,ok,40.949,11150221312,11707914560,4005363712
11007,ok,2.82,3296714752,744924,3173826560
11016,ok,40.748,11073716224,11298314802,4008501248
11018,ok,5.32,8200708096,711321010,4431970304
11024,ok,11.027,22628601856,2212956514,562524160
11028,ok,14.728,5383602176,3894833000,3812360192
11038,ok,21.331,13843480576,9911558841,4937388032
11039,ok,60.158,11771424768,14157829830,4009476096
11046,ok,19.631,8718626816,3243207256,3038851072
11052,ok,107.303,12772933632,9317553641,13323399168
11063,ok,29.236,3706707968,672871400,6608035840
11069,ok,5.12,8013357056,1080604846,3963097088
11074,ok,18.93,13613395968,10046378808,4846505984
11082,ok,15.328,7357366272,3403370813,3202572288
11087,ok,39.546,8514560000,11625923206,3744964608
11095,ok,2.719,3761262592,3235928616,3202523136
11097,ok,25.834,16681529344,10292737478,4734521344
11100,ok,3.318,5655490560,185416204,2945585152
11103,ok,8.923,12379410432,1850377922,563269632
11112,ok,2.818,5443170304,733967135,429780992
11115,ok,2.818,3322507264,816135,3167010816
11123,ok,2.818,3898220544,3258762349,3225149440
11125,ok,22.534,14042775552,10015939884,4937764864
11144,ok,23.134,13257646080,10895844384,3699134464
11145,ok,207.858,10768519168,9020058362,13256044544
11146,ok,61.76,15798476800,15509235628,3917692928
11154,ok,23.232,8403800064,3424244048,3205918720
11155,ok,3.22,3287838720,681382,3166851072
11156,ok,6.324,8882651136,1629761121,3470082048
11157,ok,6.121,9117184000,1104233746,3963084800
11160,ok,6.923,6392225792,1086615209,3841703936
11163,ok,26.736,14584664064,10648058104,4969529344
11170,ok,6.92,9061707776,1114128930,4349071360
11172,ok,213.985,16308936704,8951773597,14614331392
11173,ok,174.309,11003297792,8756321178,13008404480
11182,ok,61.837,9071640576,904482265,3853242368
11193,ok,55.745,23158378496,12705586467,3703816192
11198,ok,3.219,4396199936,891154414,3963109376
11215,ok,39.645,8586489856,11622742322,3750264832
11216,ok,29.837,11504365568,7755544784,3608842240
11227,ok,36.842,10292838400,3418643289,2724368384
11235,ok,3.524,3805212672,817036,3719815168
11236,ok,21.333,13927944192,9910920587,4937314304
1126,ok,39.168,28769492992,8697308774.400017,6163062784
11265,ok,13.128,8986742784,7372937127,3810791424
11266,ok,25.239,9661399040,4142295619,3863072768
11279,ok,2.718,2851012608,1462527242,568369152
11287,ok,3.618,4451954688,3893061295,3860254720
11289,ok,3.319,5641007104,185177153,2945683456
1130,ok,17.532,13430874112,6227702579.200005,3538206720
11310,ok,6.021,12144676864,1566034078,3390652416
11315,ok,11.269,11152723968,2296220368,3985899520
1132,ok,3.847,5033988096,322122547.1999817,604823552
11322,ok,21.332,14001446912,9911282951,4940550144
11325,ok,7.022,10637406208,1133945569,3984601088
11330,ok,68.673,21288165376,18406702113,3181023232
11331,ok,6.222,9203220480,1103644577,3963224064
11333,ok,62.928,4096053248,895710183,3967680512
11334,ok,29.063,5526822912,188934741,2947944448
11339,ok,8.726,20125347840,1575871460,562520064
11341,ok,8.125,12597272576,2230979600,567128064
11345,ok,2.32,2561232896,658647,2509250560
11355,ok,2.821,2590732288,1021242505,537063424
11358,ok,5.622,4856606720,1226396124,3469705216
11364,ok,3.323,5668487168,184385571,2946211840
11368,ok,96.095,21545979904,17409461982,4373123072
11396,ok,30.14,24847028224,13134890357,4412530688
11399,ok,21.332,7276556288,2702428044,2493607936
11417,ok,22.032,13964099584,9976672222,4969750528
11420,ok,202.47,10260922368,8869654903,13313499136
1143,ok,9.351,9956442112,3865470566.4000244,2661879808
11437,ok,26.038,16632467456,10293903559,4736643072
11439,ok,16.031,4214382592,386104482,4032638976
11446,ok,26.139,13318397952,11932578199,3706556416
11455,ok,2.823,3851309056,3235765897,3202166784
11457,ok,5.124,7780806656,1357326016,4927746048
11464,ok,1.119,2071347200,649664204,513445888
11467,ok,26.233,14574350336,10583382190,4937670656
11469,ok,24.234,13986680832,9830548589,4129390592
11470,ok,4.02,7916994560,840568237,3336192000
11471,ok,13.127,9024012288,7372645809,3811229696
11474,ok,161.14,11418316800,8709820553,13013508096
11479,ok,17.931,8830369792,7966433070,3812171776
11482,ok,51.322,3262513152,4158911,3169423360
11487,ok,63.552,6118858752,494638048,3967971328
11499,ok,5.127,3294994432,848249970,564289536
11512,ok,12.424,4627648512,1979198,4365582336
11518,ok,4.422,5347254272,893036558,3914756096
11519,ok,4.524,5327802368,893758144,3914878976
11540,ok,63.82,8980197376,1103401285,3968163840
11541,ok,20.129,8726593536,1631830729,3471060992
11542,ok,39.445,8499482624,11622562043,3740372992
11543,ok,5.383,6403133440,856309545,3963092992
11547,ok,25.839,13532520448,11931039024,3699326976
11555,ok,44.681,5054107648,3165419313,2263990272
11556,ok,218.077,10590420992,8721586316,12994990080
11557,ok,5.527,7761494016,2383814493,2577932288
11559,ok,3.321,5661515776,185154939,2945511424
11565,ok,6.025,10254348288,788869741,3850383360
11567,ok,23.135,8409743360,3422971426,3202637824
11582,ok,9.723,14432948224,2950912273,5562638336
11584,ok,5.222,8120287232,1081205345,3963146240
11598,ok,25.935,5438779392,3382785001,3027730432
11608,ok,9.325,20277739520,1708672260,562626560
11614,ok,34.647,5670715392,175109712,6589820928
11628,ok,6.823,6083039232,1085469849,3839377408
11631,ok,24.339,9674788864,3441082795,3225772032
11638,ok,26.74,9721069568,3461013278,3226296320
11649,ok,1.116,2084687872,649654587,513302528
11661,ok,23.133,8510906368,3424068306,3203891200
11677,ok,4.631,5971206144,566285341,4927283200
11696,ok,114.109,16186384384,49327980368,4253229056
11700,ok,416.256,10854612992,8720176671,13303484416
11703,ok,106.4,8554184704,9037928805,13315149824
11717,ok,355.134,11283234816,2877680623,9633173504
11719,ok,44.348,11825446912,11801867316,3536809984
11726,ok,6.12,8679632896,1630341459,3470188544
11729,ok,25.938,5433397248,3381655782,3030503424
11740,ok,21.431,13982511104,9912508273,4937867264
11742,ok,202.748,10087743488,9076424662,13352022016
11744,ok,1.521,2351550464,404302318,564953088
11753,ok,102.894,8838373376,8718638003,13302411264
11764,ok,63.432,14864146432,12089843499,3803062272
11769,ok,18.269,5873975296,1420690580,3842904064
11775,ok,69.878,4115402752,900373464,3965296640
11777,ok,53.011,8443510784,3401567387,3162370048
11778,ok,52.46,3306221568,4268683,3176419328
11787,ok,2.13,2902114304,198247440,802471936
11796,ok,32.839,9647538176,3276809906,3033407488
11798,ok,2.418,4788191232,1014209281,657481728
11800,ok,15.428,7311814656,3403505573,3203276800
11804,ok,14.327,8995127296,7375521962,3811020800
11807,ok,32.946,8517304320,2739553028,2517843968
11810,ok,35.146,3239858176,3591135,3173883904
11821,ok,8.923,18473234432,1673628149,585748480
11822,ok,15.13,7214481408,6533743292,3739398144
11825,ok,21.336,17207767040,10338905707,5255548928
11829,ok,4.318,7309168640,1759341545,4681269248
11830,ok,23.733,8548466688,3394578398,3152470016
11831,ok,5.121,7929606144,1084723510,3962994688
11838,ok,32.843,20896288768,14948888909,5092851712
11840,ok,3.317,5626687488,183835362,2945576960
11844,ok,36.946,7884845056,524422832,6607798272
11855,ok,8.813,2598387712,1487166783,455565312
11869,ok,68.373,9154392064,2206285621,3968720896
11878,ok,58.95,11303321600,7755651556,3611844608
11881,ok,73.115,13781028864,3610172866,3202224128
11883,ok,54.528,17545314304,3292008012,5468110848
11888,ok,2.719,2931265536,655812,2923839488
11889,ok,25.839,16669921280,10292234529,4737712128
11895,ok,17.931,11692429312,7754842572,3612950528
11898,ok,97.589,21488427008,20726668446,3716706304
11911,ok,7.323,8859402240,1792882358,3469774848
11912,ok,10.925,18394701824,2111067324,4767227904
11919,ok,8.527,4756451328,3334585784,3811221504
11927,ok,17.929,11764277248,7754070756,3607740416
11928,ok,4.018,4586250240,917067,4372205568
11943,ok,23.734,8564330496,3422801472,3203014656
11944,ok,0.616,679149568,356429,581734400
11949,ok,26.033,14561046528,10584069551,4943835136
11952,ok,21.332,13946912768,9911787151,4940734464
11959,ok,4.318,5941534720,453456156,4927414272
11964,ok,44.93,2913452032,1961414,2778980352
11968,ok,49.225,5380718592,3383073935,3030994944
11974,ok,10.029,15544659968,1964961016,580993024
11977,ok,3.318,4394668032,892600237,3962978304
11979,ok,44.555,11867586560,11797815441,3540811776
11982,ok,4.02,6505414656,905044387,4817653760
11999,ok,2.017,4663140352,920545871,564453376
1201,ok,47.087,12457578496,9448928051.199982,5734129664
12019,ok,39.344,8804225024,11622174959,3740069888
12023,ok,64.63,8772530176,3871489428,4009418752
12035,ok,67.55,9507233792,4304080511,4060975104
12046,ok,63.796,5172740096,487026138,3920355328
12048,ok,15.34,20786577408,1902821624,577257472
12050,ok,11.561,4970954752,931377224,564277248
12054,ok,82.766,11072954368,20011558553,2139344896
1206,ok,9.051,7161315328,3650722201.600006,3369971712
12077,ok,62.926,14890610688,1049894417,3848826880
12083,ok,115.122,10404851712,8646936087,12984684544
12096,ok,3.519,4283207680,892338449,3963265024
12097,ok,3.519,5765586944,183994595,2945486848
121,ok,29.588,12213272576,4790335569.920002,1801125888
12102,ok,51.72,3294609408,3977049,3172139008
12107,ok,61.055,8828239872,13107270657,3741065216
12110,ok,61.766,15952388096,15511231962,3920625664
12111,ok,16.229,8984317952,7966372150,3812802560
12118,ok,6.422,8940822528,903994255,4751843328
12120,ok,11.524,9620013056,4896173824,3954688000
12125,ok,41.247,11036774400,11708048095,4006035456
12135,ok,23.939,8766455808,3403629339,3151949824
12137,ok,3.32,4238016512,892730068,3962920960
12142,ok,13.126,8872017920,7372299035,3811917824
12150,ok,9.427,5879730176,1190014870,2790838272
12156,ok,6.121,9278652416,1099727782,3963252736
12158,ok,27.939,8783540224,3870943858,4006260736
12159,ok,47.826,14065954816,9913650697,4944236544
12160,ok,9.424,21902938112,1854563505,562434048
12161,ok,32.544,28200620032,11394132084,4970274816
12175,ok,11.127,22767697920,2217115708,562135040
12181,ok,30.14,18051121152,11738319064,4986118144
12183,ok,4.722,6432202752,1156348601,4879237120
12184,ok,17.732,11690733568,7753654377,3608674304
12190,ok,4.023,4609708032,859119,4367134720
12195,ok,7.622,10670968832,974232271,3799195648
12196,ok,5.22,10287362048,1132425686,3390189568
12212,ok,21.33,13865656320,9909045841,4937535488
12232,ok,2.919,1189597184,399286449,374878208
12237,ok,6.119,9194491904,1105336563,3963133952
12243,ok,6.12,9254785024,1099200674,3966533632
12245,ok,6.122,9010421760,1102834436,3963092992
12251,ok,6.22,11967782912,1178912517,3452399616
12256,ok,10.524,22406418432,1829549659,565583872
12269,ok,53.033,9661505536,3432659390,3178262528
1227,ok,9.328,6680588288,3092376453.120001,1487421440
12280,ok,48.622,10937675776,4842164125,4505513984
12285,ok,33.744,27124654080,11461517840,4704555008
12293,ok,148.817,9554092032,8660736859,12963241984
12297,ok,70.736,11951566848,4029257976,3862757376
12298,ok,89.39,17819283456,2841733018,5554049024
12305,ok,26.519,5561401344,178298404,2948997120
12313,ok,4.218,6610747392,413256516,4766437376
12340,ok,64.39,7946059776,1083255327,3965181952
12343,ok,22.816,6194900992,490896360,3963285504
12345,ok,4.32,5826301952,395673990,3914731520
12346,ok,39.554,8348848128,11620685395,3746746368
1237,ok,66.219,22133694464,11070278205.439997,16183508992
12370,ok,88.987,19781767168,15737411073,3720134656
12380,ok,9.12,9557884928,2412240068,4951027712
12381,ok,15.425,7513108480,3401796464,3205832704
12384,ok,7.322,15256379392,2274279219,5592616960
12388,ok,76.966,16309657600,3213546975,4753436672
12398,ok,30.323,8853078016,1632429636,3473883136
12402,ok,16.43,9749512192,4922999949,4937736192
12406,ok,102.19,10854211584,8762114972,13314670592
12422,ok,56.86,25620160512,15383455534,4892721152
12424,ok,211.16,8835981312,8946028647,13315063808
12425,ok,252.009,7416242176,18038476378,13045374976
12429,ok,22.035,14002970624,9976379249,4962930688
12431,ok,3.517,4710453248,4201167964,4166270976
12444,ok,1.515,1881464832,942095615,461135872
12457,ok,6.221,9087582208,1099520217,3964411904
12462,ok,12.025,17188724736,4178932997,5546151936
12465,ok,37.145,12014850048,7184915855,1991528448
12467,ok,21.935,13972008960,9976854326,4972216320
12473,ok,2.915,3123343360,738209,3009900544
12477,ok,3.117,4113178624,60209160,3145773056
12483,ok,1.917,2580291584,622398843,562237440
12508,ok,39.347,8558358528,11622875375,3744776192
12511,ok,24.502,8671129600,3948790691,3202613248
12518,ok,26.139,5463158784,3382787686,3031453696
12526,ok,5.22,8887455744,1138422675,488992768
12530,ok,2.82,3294658560,687734,3166892032
12533,ok,6.32,10447790080,789517730,3911847936
12538,ok,9.524,20655575040,2144076984,562429952
12545,ok,4.217,5903687680,453325967,4927295488
12563,ok,25.863,13882908672,10657794256,3923681280
12565,ok,1.515,3467993088,687302421,455938048
12569,ok,10.758,10801774592,2207538653,3963244544
12575,ok,39.447,8707051520,11621114425,3745804288
12585,ok,10.625,22868058112,1977308180,568131584
12589,ok,1.318,1837215744,342166488,459956224
12593,ok,25.238,9849593856,4138351404,3860951040
12595,ok,1.617,3028590592,661401314,461144064
12603,ok,51.455,27256643584,13110998955,3744276480
12610,ok,25.934,16665907200,10293933863,4734312448
12613,ok,23.042,8496492544,3424337438,3212365824
12636,ok,25.737,13498949632,11941672715,3702059008
12641,ok,3.917,7062122496,761219675,4643000320
12643,ok,39.544,8559468544,11621428114,3741151232
12646,ok,39.446,8812920832,11622428062,3740618752
12647,ok,5.118,8020418560,1062255152,4014915584
12661,ok,26.033,16629964800,10291984233,4734271488
12664,ok,4.019,4614520832,882022,4362969088
12667,ok,3.317,4367319040,912108241,3975503872
12670,ok,58.564,9232310272,14072504880,3751260160
12680,ok,27.332,16951513088,10654627097,4969816064
12689,ok,4.018,2291683328,1355854220,451375104
12694,ok,5.217,8135794688,1082706889,3963498496
12711,ok,3.317,5730791424,177464432,2948517888
12716,ok,3.415,3916546048,793989,3719438336
12735,ok,25.933,16672555008,10294459196,4734955520
12744,ok,9.321,22307364864,1857227035,562077696
1276,ok,9.402,9188741120,0,1020403712
12760,ok,41.243,11105501184,11707933105,4001968128
12764,ok,13.026,8935714816,7373211079,3811635200
12770,ok,3.316,5688987648,183303538,2945490944
12787,ok,1.016,1856638976,506430504,408084480
12790,ok,25.739,13432889344,11943299666,3701133312
12805,ok,4.719,7400992768,585067825,3839537152
12827,ok,6.62,9356742656,801161834,3141738496
12829,ok,4.516,7139803136,1040590855,4804833280
12839,ok,59.76,17156980736,13687696025,3470897152
12846,ok,2.716,3722534912,3187729978,3150524416
12849,ok,40.144,5985587200,3461441112,3028361216
12855,ok,4.717,7449141248,586595867,3839578112
12860,ok,5.218,7959863296,1084018373,3963092992
12872,ok,1.115,2045034496,649591151,513503232
12873,ok,26.336,14471999488,10583850547,4933754880
12877,ok,17.528,8562290688,4119487309,3860258816
12878,ok,31.539,9622482944,3433217809,3178127360
12889,ok,52.531,7652159488,3464821196,3207073792
12891,ok,50.531,9072066560,2076910999,3965194240
12909,ok,13.026,8940187648,7372961244,3810775040
12912,ok,5.719,12072124416,1766172924,4420259840
12915,ok,12.625,13499076608,6066801967,4734377984
12940,ok,54.942,11257274368,9418908619,3821051904
12941,ok,13.025,8964091904,7372775947,3813793792
12948,ok,9.425,8924155904,2073324843,3964116992
12950,ok,32.024,2090192896,1535950,1968029696
12951,ok,56.278,8429903872,1633547804,3474497536
12959,ok,67.339,8365867008,11623644969,3741102080
12960,ok,64.343,6756397056,639870932,3974172672
12975,ok,33.314,11283357696,5318422824,5050408960
12982,ok,57.534,3936038912,16836540,3644751872
12991,ok,43.329,8968392704,7374879341,3812413440
13009,ok,10.126,8658817024,4459044004,4840353792
13012,ok,38.926,6031003648,2404473846,2344968192
13026,ok,60.836,13167763456,10882151534,3710382080
1303,ok,11.007,7292735488,1073741824.0,1221279744
13050,ok,120.394,9834221568,1404024717,9369890816
13055,ok,3.116,3259731968,703070,3166986240
13062,ok,4.019,4982079488,841584954,3855958016
13063,ok,6.923,6277824512,1086666287,3839623168
13074,ok,5.923,4843057152,1226008922,3470016512
13080,ok,13.125,8991752192,7372893827,3814408192
13092,ok,13.928,13975449600,1247654388,4015935488
13093,ok,17.729,11675746304,7754866882,3608162304
13097,ok,2.82,3528704000,3087442306,3050151936
13110,ok,29.841,20759515136,13904184355,5095211008
13114,ok,103.497,10491940864,8768136636,13264822272
13123,ok,26.34,14594314240,10585927236,4938162176
13127,ok,61.738,8437915648,11623709000,3743834112
13131,ok,38.149,9205813248,3325601108,2663202816
13132,ok,25.943,5449265152,3382855524,3027533824
13133,ok,103.386,9330089984,8721677902,13289025536
13135,ok,9.723,13935939584,5637146806,4970127360
13142,ok,102.199,8641015808,8720173625,13285212160
1315,ok,49.162,12180598784,9126805504.0,5205405696
13162,ok,2.918,3314180096,720796,3219070976
13172,ok,141.144,5389713408,524898854,6463905792
13187,ok,1.221,2074832896,650927079,514334720
13196,ok,37.245,22422740992,15331036225,4914049024
13199,ok,13.234,8981598208,7373227213,3810996224
13210,ok,32.944,13659111424,9912904264,4938895360
13213,ok,80.055,13729120256,9979021560,4973649920
13216,ok,32.542,4592177152,2420811238,1979420672
13228,ok,8.621,11517022208,1683297752,563453952
13229,ok,34.836,11494211584,6458815115,1679216640
13230,ok,3.518,4170690560,14837420,3842105344
13231,ok,98.705,24486191104,4473761085,4096131072
13237,ok,13.325,4655095808,3237478340,3154657280
13250,ok,9.323,9114415104,3323370585,2657357824
13257,ok,55.558,25133203456,15374135182,4941332480
13264,ok,27.834,10371272704,10116584655,3739181056
13268,ok,1.516,2414882816,673618500,536854528
1327,ok,26.428,16588414976,9019431321.600006,3867459584
13276,ok,3.517,3845750784,699088,3719467008
13282,ok,4.115,4606042112,814250,4366733312
13291,ok,1.416,2688126976,145848250,274411520
13292,ok,23.336,13212667904,10884612928,3702177792
133,ok,29.763,12688814080,17396819558.4,5041979392
13307,ok,7.422,12566351872,1559249522,517439488
13308,ok,4.418,6084509696,1062411323,4826935296
13313,ok,60.87,12257755136,3572552260,3204882432
13317,ok,39.643,8566472704,11622370396,3740512256
13321,ok,23.134,8692297728,3424183221,3202555904
13341,ok,9.922,12260151296,1941540594,563388416
13352,ok,17.627,11647578112,7755076756,3604660224
13360,ok,7.719,15017828352,1251752985,3676512256
13364,ok,9.721,11669147648,5674093933,4969078784
1338,ok,2.905,5924753408,0,1476317184
13380,ok,13.123,8953548800,7373242365,3810832384
13382,ok,382.31,11104911360,8775759639,13275664384
13402,ok,13.129,8991805440,7373356571,3811274752
13404,ok,8.223,12707966976,1801946261,561188864
13406,ok,13.025,8946507776,7373118259,3811295232
13417,ok,6.22,8743563264,1630215984,3469783040
13423,ok,9.821,7567265792,267938679,2914299904
13438,ok,62.265,16056958976,15262348118,3875442688
1344,ok,22.825,11081441280,6227702579.199982,1410531328
13452,ok,107.998,11009183744,9133297760,13326606336
13458,ok,59.74,4955045888,127660173,3680743424
1346,ok,13.201,15933452288,3221225472.0,3117461504
13465,ok,35.536,18502041600,2165672032,4768489472
13479,ok,7.52,8804462592,1890250225,4467556352
13483,ok,60.438,6473490432,185343416,3706720256
13485,ok,28.404,8067145728,1087634293,3957415936
13486,ok,4.424,4607721472,967431,4363165696
13490,ok,2.82,5336018944,734032541,430374912
13493,ok,559.443,9859358720,4604798805,4470718464
13497,ok,27.442,21104398336,9948819757,3651252224
